TID,Tweet,Subjects,Action/Phrases,Category
1564940734939242496,"#Russia is purposefully destroying the #Ukrainian agricultural sector, food and logistics. 📈Here is the chronology of actions that threaten humanity with famine due to the #Russian invasion of #Ukraine. More info:",['Russia'],"['purposefully destroying the #Ukrainian agricultural sector, food and logistics', 'threaten humanity with famine']",DE
1565728893675388929,"The @iaeaorg visit to the Zaporizhzhia NPP has shown that only its de-occupation will save the world from russian nuclear blackmail, which can turn into nuclear terror at any time. This is not just a matter of security, but of human survival.","['russian', 'nuclear blackmail', 'nuclear terror']","['nuclear blackmail, which can turn into nuclear terror at any time']",DE
1565781079348416512,"Donovan Lewis, age 20, was murdered this week by the Columbus Police Dept, while he slept in his own bed, unarmed. America is at war with Black people as much as its at war the people of the world.",['America'],"['murdered this week by the Columbus Police Dept, while he slept in his own bed, unarmed', 'at war with Black people as much as its at war the people of the world']",DE
1567182147156312066,"Liberal intellectual Hannah Arendt, famous for her ludicrous anticommunist totalitarian thesis (whitewashing fascism), was supported by the CIA in its Congress for Cultural Freedom Cultivating a ""compatible left,"" the CIA lavished ""leftist"" cold warriors like her with luxuries",['Hannah Arendt'],['famous for her ludicrous anticommunist totalitarian thesis'],DE
1567578043522203659,Jon Stewart & Pentagon Honor Ukrainian Nazis at Disney World W/ @RealAlexRubi,"['Jon Stewart', 'Pentagon']",['Honor Ukrainian Nazis'],DE
1567600930043879431,"While U.S. Leaders Moralize About Alleged Human Rights Abuses in Russia and China To Justify Proxy Wars, Prisoners in the U.S. Routinely Suffer From Inhumane Treatment via @CovertActionMag",['U.S. Leaders'],"['Alleged Human Rights Abuses in Russia and China To Justify Proxy Wars', 'Prisoners in the U.S. Routinely Suffer From Inhumane Treatment']",DE
1567941663049277441,"Here is an incomplete list of imperialists who Elizabeth II bestowed with awards. Firstly pictured here is the ethnic cleanser of Palestine who orchestrated the massacre in Qana, Shimon Peres receiving his honorary knighthood.",['Shimon Peres'],['ethnic cleanser of Palestine who orchestrated the massacre in Qana'],DE
1568268864152010752,Terrorists. The russians avenge Ukraine’s counteroffensive with strikes on civilian targets. Massive shelling of Kharkiv’s civilian infrastructure with Uragan MRLS continues. They target residential buildings and educational institutions.,['russians'],"['Terrorists', 'strikes on civilian targets', 'They target residential buildings and educational institutions']",DE
1568880525183442944,Prince Charles is a King now? It seems only yesterday he was getting suitcases full of cash from the Saudis for reasons still unknown. Surely he's aware of bank transfers? #NotMyKing,"['Prince Charles', 'the Saudis']",['getting suitcases full of cash from the Saudis for reasons still unknown'],DE
1570060802270298112,russian torture chamber in liberated Balakliya. The Lord's Prayer was carved on the wall by Ukrainian prisoners. russia must be held accountable for this blatant genocide.,"['russia', 'Ukrainian prisoners.']",['blatant genocide'],DE
1570092819154608131,Not Ukraine's Jewish president being guarded by a guy with a SS-Totenkopfverbande patch! (that's German for some Nazi shit),"[""Ukraine's Jewish president""]","['guarded by a guy with a SS-Totenkopfverbande patch', 'some Nazi shit']",DE
1570109700364009474,Zelensky being guarded by a man wearing the SS-Totenkopf (skull and bones) patch has to be the best metaphor for the Ukrainian state. An oligarchic regime safeguarded by ghouls…,"['Zelensky', 'a man wearing the SS-Totenkopf (skull and bones) patch']","['guarded by a man wearing the SS-Totenkopf (skull and bones) patch', 'oligarchic regime safeguarded by ghouls']",DE
1570315628770107392,"When #Zelensky visited #Izyum to congratulate his Soldiers we can see one of his guards is proudly wearing the SS Totenkopf insignia of a brutal ultra Nazi German division. But this of course cannot be true because #Zelensky is a Jew and theres no #Nazis in #Ukraine, Right?",['Zelensky'],['one of his guards is proudly wearing the SS Totenkopf insignia of a brutal ultra Nazi German division'],DE
1570758431954579457,"No peace and freedom are possible where Russia comes. 🪦 A mass grave site was found in the recently liberated #Izium. 440 graves were revealed there. There are more graves in the city, as a police report. All these people died during the 6-month-occupation. 📷Serhii Nuzhnenko",['Russia'],['No peace and freedom are possible where Russia comes'],DE
1570830266805133313,Russia is a terrorist country. I don't know why the world is slow to recognize it. We liberated Izium. Over 400 graves were found in the forest next to it. How many tortured Ukrainians are there is unknown. How many more of our people must die so that all finally figured it out?,['Russia'],"['terrorist country', 'tortured Ukrainians']",DE
1570830825163468803,"Liberated territories of Kharkiv region revealed more proofs of Russian terror & war crimes towards civil people. Small town of Izium, mass burial site, already 450 graves found. Russia is a terrorist state, war criminal, murderer.",['Russia'],"['terror & war crimes towards civil people', 'terrorist state', 'war criminal', 'murderer']",DE
1570869189971419136,"Mass graves in Izium prove that whenever we liberate territories, there is evidence of horrendous Russian crimes. One can only imagine the hell that people in other Russia-occupied territories still go through. We urgently need more weapons to liberate them and save their lives!",['Russian'],['horrendous Russian crimes'],DE
1571401458259726336,"The more🇺🇦forces liberate territories from🇷🇺invaders,the more new crimes against humanity, committed by russians are revealed. Just like nazis in WWII russians had torture rooms in every Ukrainian town. The scope of tortures is unbelievable. People were also kept there as mascots",['russians'],"['crimes against humanity', 'torture rooms in every Ukrainian town']",DE
1571626067751731204,"A non-stop exhumation of hundreds of corpses in Izyum continues. Each day, injuries are being recorded and bodies are being reburied. It will take many long and exhausting hours for investigators to reveal the magnitude of the genocide perpetrated by russian murderers.",['russian'],"['magnitude of the genocide', 'murderers']",DE
1573346176396664833,"Ukrainian soldier Mykhailo Dianov is among the fortunate ones: in contrast with some of his fellow POWs, he survived russian captivity. This is how russia “adheres” to the Geneva Conventions. This is how russia continues the shameful legacy of Nazism.",['russia'],['continues the shameful legacy of Nazism'],DE
1573620787038363654,"Ukraine keeps shelling civilians, this time in southern Novaya Kakhovka. Meanwhile the west is pushing the narrative the referendums were done at “gunpoint”. If anyone is pointing a gun at these territories its literally Ukraines own army, which is why most want to join Russia.","['Ukraine', 'west']","['keeps shelling civilians', 'If anyone is pointing a gun at these territories its literally Ukraines own army']",DE
1574287034331660288,"Etonian historian Kwarteng has created a full on sterling crisis that will increase inflation, energy prices and interest rates causing a huge spike in hardship and hunger. But his hedge fund friends are getting very rich.",['Kwarteng'],"['created a full on sterling crisis that will increase inflation, energy prices and interest rates', 'huge spike in hardship and hunger', 'his hedge fund friends are getting very rich']",DE
1574305975556775936,.@ZelenskyyUa: #russia uses criminal #mobilization to eliminate representatives of indigenous peoples in temporarily occupied territories. In #Crimea 🇷🇺occupiers issued most of mobilization letters precisely to #CrimeanTatars ➡️ yet another element of russia’s genocidal policy,['russia'],"['uses criminal #mobilization to eliminate representatives of indigenous peoples', 'genocidal policy']",DE
1574309951920537601,"Another russian torture chamber in the de-occupied territories near Kharkiv. This is what a russian electric chair looks like. Only this is not an instrument of justice for criminals, but a tool for russian executioners and sadists who tortured Ukrainians.","['russian', 'executioners', 'sadists']",['a tool for russian executioners and sadists who tortured Ukrainians'],DE
1575034046408556545,"For many years #Russia has been undermining the stability & sovereignty of neighbor states. Armed conflicts, fake referenda, military support of the occupying powers – all of these are tools well known & constantly used by Russia, the scheme remains unchanged.",[],"['undermining the stability & sovereignty of neighbor states', 'Armed conflicts', 'fake referenda', 'military support of the occupying powers']",DE
1575042718287265798,"In #Mykolaivka, #Donetsk region #Russian occupiers shelled a school. 12 people were sheltering there, including 2 children. School’s walls collapsed, but the shelter was not affected.This is #Russia's another deliberate attack on civilian #infrastructure. #RussiaIsATerroristState",['Russian occupiers'],['deliberate attack on civilian #infrastructure'],DE
1575303035739197440,"US mad about 95% approval of Russian annexation in Ukraine? The 'sham' is 95% of Hawaiians *rejected* annexation, and America stole our country anyway, banned our language and culture.",['US'],"['stole our country anyway', 'banned our language and culture']",DE
1575738732044775424,"23 killed and 28 injured from Russian shelling of a humanitarian convoy in Zaporizhzhia region. Russia is a terrorist state, which doesnt value human life and disregard any internationally recognized rules of wartime.",['Russia'],"['terrorist state', 'doesnt value human life and disregard any internationally recognized rules of wartime']",DE
1575951189271007232,One day he’ll need 2 hands up to surrender. Today 1 lonely hand humiliated UNSC. The absence of the necessary treatment has turned russia into a cancerous tumor in the body of Security Council. Its to be removed before the entire UN system is metastasized,"['russia', 'Security Council.']","['a cancerous tumor in the body of Security Council', 'Its to be removed before the entire UN system is metastasized']",DE
1576983125506543621,"Anthony “tremendous opportunity” Blinken wrote a book in 1987: Ally versus Ally, America, Europe and the Siberian Pipeline Crisis. Doesn’t this make @SecBlinken the prime suspect and likely architect of the Nord Stream 2 terrorist attack?","['Blinken', 'SecBlinken']",['prime suspect and likely architect of the Nord Stream 2 terrorist attack'],DE
1577454877382320128,John Bolton still trying to start World War III. It's so crazy how there are people whose whole entire job is to try and cause the violent death of as many human beings as possible.,['John Bolton'],"['trying to start World War III', 'whole entire job is to try and cause the violent death of as many human beings as possible']",DE
1578437954745389057,Washington Post lying about Kremlin turmoil’ – Moscow The Post has published misinformation from American spies before,['Washington Post'],"['lying about Kremlin turmoil', 'has published misinformation from American spies before']",DE
1579134232718606336,"Last night Russia fired over 20 missiles on residential areas in #Zaporizhzhia, which killed at least 13 people, injured 60, incl 6 children. These areas have no military purpose. The only goal of 🇷🇺 was to cause death & destruction, sow terror & fear. 🔗",['Russia'],"['fired over 20 missiles on residential areas in #Zaporizhzhia, which killed at least 13 people, injured 60, incl 6 children', 'cause death & destruction', 'sow terror & fear']",DE
1579235051602333696,"Ukraine war- Not in my name. We did not consent to 7.5bn being given to the government's Ukraine proxy war, nor did we consent to our economy being ruined by these self- defeating policies. We demand a Referendum; we want democracy! Please sign and share:",['government'],"[""7.5bn being given to the government's Ukraine proxy war"", 'nor did we consent to our economy being ruined']",DE
1579400442525544448,"#russian occupiers target critical infrastructure of 🇺🇦. #russia acts like terrorist, millions of people are under unprecedented threat. People in #Lviv, #Sumy, #Kharkiv, partially in #Kyiv &a number of other cities are left without electricity and water supply 1/2",['russia'],"['target critical infrastructure', 'acts like terrorist', 'millions of people are under unprecedented threat']",DE
1579573524121149441,Stop been so pathetic Paulino. You DID support and ENJOYED INTERNATIONAL TERRORISM yesterday. #hypocrisy @Russ_Warrior @georgegalloway @GeorgeSzamuely @VeraVanHorne @jacksonhinklle @GeromanAT @caitoz @Tsarinamoscow @AKorybko @EvaKBartlett @witte_sergei @Dpol_un @Dpol_un,['Paulino'],"['pathetic', 'support and ENJOYED INTERNATIONAL TERRORISM']",DE
1579674366505521152,"Terror is #Russia’s style. It intrudes into the homes and lives of civilians. But there is nothing new. Russia has threatened us on the ground, in the air and from the sea since months and years. The only thing that teases Russia is the fact that we live. #RussiaIsATerroristState","['Russia', '#RussiaIsATerroristState']","['Terror', 'threatened us on the ground, in the air and from the sea since months and years']",DE
1580183055913713664,"More than 120 bodies exhumed in recently liberated #Lyman and #Sviatohirsk, #Donetsk region. 64 of them are civilians. Many of them bear signs of violent death. It once again proves #russia's genocidal policy. #RussiaIsATerroristState","[""russia's""]","['Many of them bear signs of violent death', 'genocidal policy']",DE
1580597955987660800,"My friend @JosBtrigga was just locked out of his account after him and I confronted AOC on her support for nuclear war. As usual, Twitter shows itself to be an enemy of free speech and expression",['Twitter'],['an enemy of free speech and expression'],DE
1580842881853845504,"Demilitarization of russia. By using hundreds of high-precision missiles against civilian objects of Ukraine, the aggressor state reduces its ability to strike the military targets. Two conclusions: - russia's military defeat is inevitable; - russia is a terrorist state.","['russia', 'military']","['using hundreds of high-precision missiles against civilian objects of Ukraine', 'aggressor state', 'russia is a terrorist state']",DE
1580894617314029574,"#OTD in 1942 Ukrainian Insurgent Army (UPA) was formed: nationalist organization controlled by Nazi Germany. Alongside Gestapo it is responsible for mass murders of Polish, Jewish & Ukrainian population. Thousands of people mainly civilians perished at the hands of UPA militants",['Ukrainian Insurgent Army (UPA)'],"['responsible for mass murders of Polish, Jewish & Ukrainian population', 'Thousands of people mainly civilians perished at the hands of UPA militants']",DE
1580990063550529536,Want to know why @elonmusk is done helping Ukraine? Because when Elon started talking about >PEACE< Ukraine put him on a kill list that’s run by the Ukrainian Gestapo (SBU). They already killed several people on that list and brag about it like that’s an achievement. It’s murder.,['Ukraine'],"['put him on a kill list', 'already killed several people on that list']",DE
1581553403523526661,"On top of ☢️ blackmailing at the #Zaporizhzhia NPP, rf resorted to massive missile terror against civilians and infrastructure causing significant #environmental damage. Learn more at",['rf'],"['blackmailing at the #Zaporizhzhia NPP', 'resorted to massive missile terror against civilians and infrastructure causing significant #environmental damage']",DE
1581654439194415110,"It's quite dangerous that neocons have erased from Americans' memory every historical event except WW2. Thus: every US enemy is Hitler, every war is an existential battle, your own only choice is to be Chamberlain (ie diplomacy) or Mighty Churchill (cheer neocon war policies).",['neocons'],"[""erased from Americans' memory every historical event except WW2"", 'every US enemy is Hitler, every war is an existential battle']",DE
1581719098089943040,Truly Truly Unbelievable Did you know US passed the #InvasionOfTheHagueAct so they cant be prosecuted for #warcrimes @georgegalloway @MoatsTV All animals are equal but some are more equal,['US'],"['passed the #InvasionOfTheHagueAct so they cant be prosecuted for #warcrimes', 'All animals are equal but some are more equal']",DE
1581738904180338688,"Do you know whats Moscows Three Dimensional policy? Disrupt, Distort, Discredit. Practice: (Fail to ) disrupt UNGA Res on TerIntegrity - Lie about US & NATO not respecting sacred principle - Discredit Res by manipulating its translation replacing defending by observing",['Moscows'],"['Disrupt', 'Distort', 'Discredit', 'Lie about US & NATO not respecting sacred principle', 'Discredit Res by manipulating its translation replacing defending by observing']",DE
1581978674961661952,"Germany withholding a tweet showing Azov fighters in Ukraine doing the heil Hitler salute on the basis of the law against Nazi symbols is amazing irony. The German gov can fund and arm them, but journalists can’t show photos of them proudly exhibiting their white supremacy.",['Germany'],"['withholding a tweet showing Azov fighters in Ukraine doing the heil Hitler salute', 'proudly exhibiting their white supremacy']",DE
1582072415836069890,"This is Vika. She had favorite job, family and dreams. Together with husband they were expecting a child. Their lives were cut short by Iranian drone today. This is not a war, this is terrorism. Terrorists have no place in international organizations. Their place is on the dock.",['Iranian'],"['lives were cut short by Iranian drone', 'This is not a war, this is terrorism', 'Terrorists']",DE
1582576694572875777,"The threat of a US led intervention looms over Haiti, & Haitians intensify their struggle to defend their independence. The truth is that the current crisis in Haiti is the result of multiple invasions & occupation by the US & its allies under the UN flag.","['US', 'its allies']","['threat of a US led intervention looms over Haiti', 'the current crisis in Haiti is the result of multiple invasions & occupation']",DE
1582753571493191680,"As Chair of @ukr_nat I call on @UNESCO &partners to condemn ""martial law"" imposed by #russia in temporarily occupied territories of Zaporizhzhia,Kherson,Luhansk&Donetsk regions which endangers cultural heritage&creates a pretext for illicit transfer of cultural objects to🇷🇺1/2",['russia'],"['endangers cultural heritage', 'creates a pretext for illicit transfer of cultural objects to🇷🇺']",DE
1582773608870711296,"#Russia has started a new stage of terror in the temporary occupied territories of #Ukraine. The announcement of the so-called ""martial law"" aims to suppress the resistance of the residents of Luhansk, Donetsk, Zaporizhzhia and Kherson regions.",['Russia'],"['started a new stage of terror in the temporary occupied territories of #Ukraine', 'aims to suppress the resistance of the residents']",DE
1583380697762664449,"#Russia finds new ways of terror. Russians have reportedly mined one of the largest  power facilities - Kakhovka hydroelectric power plant, its dam and units. Destroying the facility may flood 80 towns incl #Kherson and will leave the #Zaporizhzhia NPP without water for cooling.",['Russia'],['finds new ways of terror'],DE
1583382653373337601,Twitter Permanently 'Suspends' RT Hindi — platform gave NO warning & based decision on BOGUS info The social media giant continues to purge free speech. Twitter e-mailed RT to accuse our channel of breaking rules on four points — with 'multiple or repeat violations',"['Twitter', 'RT Hindi']","[""Suspends' RT Hindi"", 'gave NO warning & based decision on BOGUS info', 'continues to purge free speech']",DE
1583752573491634177,"Invading rf army lost 15,000+ military vehicles. Its ☣️ remnants poison soils and water. In retaliation for military defeats, recently occupiers have attacked 380 civilian infrastructure facilities causing additional #environmental damage. Learn more at",['rf'],"['remnants poison soils and water', 'attacked 380 civilian infrastructure facilities causing additional #environmental damage']",DE
1583870127229251590,Yuliia and her cat Emma survived a #Russian missile attack. The rocket hit right next to their apartment in #Kyiv. #Russia terrorizes the lives of #Ukrainians every single day. #RussiaIsATerroristState 📸 alina_smutko #StopRussianWar,['Russia'],['terrorizes the lives of #Ukrainians every single day'],DE
1584072137333432320,"#Mykolaiv, #Zaporizhzhia. Cities&the region. Residential buildings, private houses, school, children playground. Those were targets for #russian rockets&kamikaze drones this night. 🇷🇺continues to terrorize🇺🇦: kill us, damage critical infrastructure, resort to nuclear blackmailing",['russian'],"['continues to terrorize🇺🇦: kill us', 'damage critical infrastructure', 'resort to nuclear blackmailing']",DE
1584219667362902016,"Due to #russian invasion of #Ukraine, 90% of Ukraine's wind energy infrastructure & about 40-50% of the solar energy infrastructure is destroyed. #russia keeps terrorizing Ukrainians and it's course to create energy crisis in our country. Help us protect 🇺🇦 sky now. Stop🇷🇺terror",['russia'],"[""Due to #russian invasion of #Ukraine, 90% of Ukraine's wind energy infrastructure & about 40-50% of the solar energy infrastructure is destroyed"", ""keeps terrorizing Ukrainians and it's course to create energy crisis in our country""]",DE
1584274113220124672,"Every day, #UAarmy liberates our land from rus dirt. The thought of a dirty bomb is repulsive to us. We invite @UN @iaeaorg monitoring missions to visit🇺🇦.The world should provide a response to rus nuclear blackmail.We demand adherence to paragraph 4 of the Budapest Memorandum",['rus'],"['a dirty bomb', 'nuclear blackmail']",DE
1584442158076948481,Dear .@eastdakota Matthew Prince CEO of Cloudfare - why do you apparently protect & collaborate with #Nazis who put children on #SBU kill list in #Ukraine & target independent journalists & call for assassination of .@rogerwaters .@elonmusk ?,['Matthew Prince'],"['protect & collaborate with #Nazis who put children on #SBU kill list in #Ukraine', 'target independent journalists & call for assassination of .@rogerwaters .@elonmusk']",DE
1584477298194907136,"Dr Nial McCrae The West wants us to suffer, it's not just collateral damage of Net Zero, impoverishment is the purpose. a @MayadeenEnglish show Hosted by @georgegalloway #gasprices #energiecrisis #sanctions #UkraineRussianWar #nialmccrae",['The West'],"['wants us to suffer', ""it's not just collateral damage of Net Zero, impoverishment is the purpose""]",DE
1584990253215277056,"Elensky puts his trust on Goldman Sachs, WEF, Sunak, to continue throwing billions for an unwinnable war. Looks like the UK can’t seem to shake his curse.","['Elensky', 'Goldman Sachs', 'the UK']","['continue throwing billions for an unwinnable war', 'UK can’t seem to shake his curse']",DE
1585050759518834688,"“Progressives” retracted a milquetoast letter urging Biden to seek diplomacy, saying “timing”conflated it with wanting to stop “support” for Ukraine. So they reenforced their commitment to funding Nazis, regardless of nuclear war, bc they didn’t want to sound like republicans!",['Progressives'],['to funding Nazis'],DE
1585649217606819840,West can’t sit out crises it caused – Putin ➡️ WATCH LIVE:,['West'],['can’t sit out crises it caused'],DE
1585844807271841793,"Twitter employees whine that they won't be able to artificially boost hashtags supporting regime change in Iran and the Ukrainian proxy war, or help astroturf ""social movements""",['Twitter employees'],"['artificially boost hashtags supporting regime change in Iran and the Ukrainian proxy war, or help astroturf ""social movements""']",DE
1586009607658504192,US Republicans who want diplomacy with Russia are about as ‘pro-Putin’ as Reagan was ‘pro-Soviet’ Liz Cheney invokes Ronald Reagan to bash those in the GOP who want talks with Russia. But that’s exactly what Reagan would have done — Rachel Marsden,"['US Republicans', 'Liz Cheney']","['pro-Putin', 'pro-Soviet']",DE
1586064535303368704,"Terrorists and filthy liars. 25-year-old Inna and her unborn child were burned alive in their own car at a gas station after a rus missile strike on Dnipro. The next day, the MoD of russia said it had launched missiles at ""an oil storage facility of a group of troops in Donbas.""",['russia'],['Terrorists and filthy liars'],DE
1586286589696954368,The rf occupiers unauthorizedly worked in the dry spent fuel storage facility at the Zaporizhzhia ☢️power plant and mined the Kakhovka hydropower plant’s dam creating risks of catastrophic #environmental consequences. Learn more at,['rf occupiers'],"['worked in the dry spent fuel storage facility', 'mined the Kakhovka hydropower plant’s dam creating risks of catastrophic #environmental consequences']",DE
1586318274236907520,"In the Kharkiv region, russian occupiers destroyed a UTR-2, the world's largest low-frequency radio telescope at decametre wavelengths, which was built in 1972. Wherever the russian barbarians go, they leave behind only destruction. 📷 @MVS_UA",['russian'],"['barbarians', 'leave behind only destruction']",DE
1586600859730837505,China bad because no war.,['China'],['bad'],DE
1586796167005978625,"I fly tonight to Istanbul and then on to Moscow, Russia. Some may wonder why I am going to Russia at this time. In short, I go as a protest of the US’s growing belligerence towards Russia and the Russian people — belligerence that is bringing us closer to a nuclear conflict.",['US’s'],"['belligerence towards Russia and the Russian people', 'belligerence that is bringing us closer to a nuclear conflict']",DE
1587738995219472389,Russia continues using food as a weapon in order to achieve political goals. 🇷🇺’s decision to suspend its participation in the Grain Initiative undermines global food security. #Ukraine wants to continue grain exports to those in need. #UkraineForFoodSecurity #RussiaFamineGames,['Russia'],"['using food as a weapon in order to achieve political goals', 'undermines global food security']",DE
1588103716862828544,"The Lord works in mysterious ways and God is good! History may record that we were saved from nuclear war by the criminal exploits oh ghoulish clown Liz Truss being exposed by her own incompetence, as her hacked personal cell phone sheds light on many recent world events.",['Liz Truss'],"['criminal exploits oh ghoulish clown', 'exposed by her own incompetence']",DE
1588191654275477504,The Pakistani Army killed Benazir and now they tries to kill #ImranKhan. Pakistani Army never Won any war but they always tries to kill Pakistani politicians. #bajwa_traitor #عمران_خان_ہماری_ریڈ_لاین_ہے #راناثناکاکپتان_پرقاتلانہ_حملہ #قاتل_کنٹینر #ISPR #firingAtLongMarch,['Pakistani Army'],"['killed Benazir and now they tries to kill #ImranKhan', 'never Won any war', 'always tries to kill Pakistani politicians']",DE
1588598901166473217,"Today is 1 year since my appointment as #DefMin of 🇺🇦. During this year, my enemy has not changed:it’s russia - an aggressor&a terrorist state. But I made a lot of friends in 🇺🇦& abroad. I’ll do my best for a tribunal for russian war criminals. But in first 𝐖𝐄 𝐖𝐈𝐋𝐋 𝐖𝐈𝐍!","['russia', 'war criminals']",['aggressor&a terrorist state'],DE
1589206606281347072,"Last year only 2 countries — the US and Ukraine — voted against a UN resolution condemning the glorification of Nazism. This year it was 52. There is a major push to normalize Nazis, but it’s not coming from Kyrie & Kanye. It’s coming from our government.",['our government'],['There is a major push to normalize Nazis'],DE
1589597534875533315,"It has been more than 8 years and 8 months since the start of russia's war against Ukraine, and these companies still haven't left the bloody federation. They call it business. We call it sponsoring a terrorist state.",['companies'],"[""haven't left the bloody federation"", 'sponsoring a terrorist state']",DE
1589740948719775745,Trudeau is a special type of clown. He kidnapped and falsely imprisoned Meng Wanzhou on Trump's instructions; he sails his warships in the Taiwan Strait; he imposes sanctions on the basis of slanderous allegations on Xinjiang; and he wants to complain about Chinese 'aggression'🤡,['Trudeau'],"['special type of clown', ""kidnapped and falsely imprisoned Meng Wanzhou on Trump's instructions; he sails his warships in the Taiwan Strait; he imposes sanctions on the basis of slanderous allegations on Xinjiang""]",DE
1590030080906244097,"I just visited a forensic lab in Kyiv where technicians are meticulously examining war crime evidence to hold Russia accountable. If Russian forces think they are going to get away with their atrocities, they are in for a rude awakening.",['Russia'],"['atrocities', 'war crime']",DE
1590333023144546305,Western Intelligence Services Played Key Role in Staging Mass #Riots in #Iran: Moscow,['Western Intelligence Services'],['Played Key Role in Staging Mass #Riots in #Iran'],DE
1590698289233596416,US threatens traditional Russian values – Putin Details:,['US'],['threatens traditional Russian values'],DE
1591029974672478208,7 innocent 🇺🇦 became victims of🇷🇺cruel attack on residential building in #Mykolaiv this morning. 16-year-old Roman will never hug his parents again. #russian missile made him an orphan. It ruined to ashes the part of a flat where Roman's mom & dad were sleeping. The boy survived.,['🇷🇺'],"['cruel attack on residential building', '#russian missile made him an orphan']",DE
1591166605001719824,"Photos from de-occupied #Kherson. Flats of Ukrainians were looted by #russian invaders. 🇷🇺 troops have no dignity. They are murderers, thiefs and marauders. They bring only chaos and pain. #RussiaIsATerroristState.",['🇷🇺 troops'],"['looted', 'have no dignity', 'murderers, thiefs and marauders']",DE
1591349507178270721,"Torture room in #Snihirevka, #Mykolaiv region. The town was de-occupied on November 10. It's scary to imagine how many more such places we will find in liberated territories and how many innocent civilians were tortured&killed there by #russian invaders. #RussiaIsATerroristState",['russian'],['tortured&killed'],DE
1591946975486038016,From the Daily Mail. Ukrainians in Kherson tying up other Ukrainians for being friendly to Russian troops. This is disgusting an inexcusable. It's gone on for far too long. If we had a SOS with a spine and ethics he'd warn Zelensky to stop this grotesque behavior. @SecBlinken,['Ukrainians'],"['tying up other Ukrainians for being friendly to Russian troops', 'disgusting an inexcusable']",DE
1592057126456905728,"45 thousand flats left without water in #Dnipropetrovsk region. #russian invaders kept shelling innocent 🇺🇦 civilians the whole night from heavy artillery and multiple launch rocket systems, causing damage to energy infrastructure. #RussiaIsATerroristState",['russian'],"['kept shelling innocent 🇺🇦 civilians', 'causing damage to energy infrastructure']",DE
1592074920372359169,"BREAKING as reported Kiev had banned any media beside their chosen ones like CNN, BBC & Sky News in Kherson. Turns out they are also now banned. Meanwhile the crimes of torture against supposed “Russian collaborators” remain hidden from western audiences. What a coincidence.","['Kiev', 'CNN,', 'BBC', 'Sky News']","['banned any media beside their chosen ones', 'crimes of torture against supposed “Russian collaborators” remain hidden from western audiences']",DE
1592193139539779584,Failed crypto exchange was money laundering op – report FTX allegedly took in millions in crypto donations through Ukraine and may have laundered much greater sums,['FTX'],['took in millions in crypto donations through Ukraine and may have laundered much greater sums'],DE
1592197875098095617,"Killing is entertainment for them. When the occupiers are unable to torture&kill civilians, they do it to animals. At one position abandoned by russians, animals were found executed by hanging. Among them, a rare gray dwarf hamster that is listed in the Red Book of Ukraine.",['russians'],"['Killing is entertainment for them', 'When the occupiers are unable to torture&kill civilians, they do it to animals', 'animals were found executed by hanging']",DE
1592213130637365250,"On one of the abandoned positions of #russian invaders in #Kherson region, the corpses of hamsters, incl a Red Book gray hamster, were found. They were cruelly killed. The scope of inhuman, terrible things that russian terrorists do goes beyond limits. #RussiaIsATerroristState","['russian invaders', 'russian terrorists']","['corpses of hamsters, incl a Red Book gray hamster, were found', 'They were cruelly killed', 'inhuman, terrible things that russian terrorists do goes beyond limits']",DE
1592258472019898369,"Russia, who claims to be the successor of 20th century’s tyranny, is doing everything it can to avoid paying the price for war & occupation, trying to escape accountability for crimes it’s committing. Russia will fail just like it is failing on battlefield",['Russia'],"['doing everything it can to avoid paying the price for war & occupation', 'trying to escape accountability for crimes it’s committing']",DE
1592643601380802560,"A terrorist act of the day: about 100 missiles fired by Moscow across Ukraine. The massive attacks came four days after Russian troops abandoned Kherson city, the only regional capital Russian troops had captured since its invasion.",['Moscow'],['terrorist act'],DE
1592893006205816834,Yesterday #Russia launched around 1️⃣0️⃣0️⃣ missiles to damage and destroy more civilian infrastructure and people’s lives. #RussianWarCrimes are part of its campaign of genocide aimed at creating unbearable conditions of life for Ukrainians. #RussiaIsATerroristState,['Russia'],"['damage and destroy more civilian infrastructure and people’s lives', 'its campaign of genocide aimed at creating unbearable conditions of life for Ukrainians']",DE
1593495460542652417,"As a result of #russia's shelling of the objects of critical infrastructure of #Ukraine, hospitals remain without power. This is what happened in this one, where cardiac surgeons performed heart surgery. Our professionals successfully completed it. #RussiaIsATerroristState",['russia'],"[""As a result of #russia's shelling of the objects of critical infrastructure of #Ukraine, hospitals remain without power"", '#RussiaIsATerroristState']",DE
1593662988308910083,All what they have is each other. This old couple from #Bakhmut in #Donetsk region no longer has their home. It was destroyed by #russian terrorists on November 17. #RussiaIsATerroristState,['russian'],['terrorists'],DE
1593939181084057601,Soon: The role this week of @AP Associated Press in propagating #fakenews to catalyze Armageddon as we mourn the two Polish farmers in their sixties murdered by NATO-proxy Zelensky. #Ukraine,"['Associated Press', 'Zelensky']","['propagating #fakenews to catalyze Armageddon', 'we mourn the two Polish farmers in their sixties murdered by NATO-proxy']",DE
1594169560432869377,I’m moved by the energy & power of the 300 conscious people who came together today at @PeoplesForumNYC to oppose this US-NATO proxy war. 2K people online! Join us & the @answercoalition as we build actions to defeat the warmongers in Washington. Watch:,['US-NATO'],['warmongers'],DE
